Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR12223704_SRP271933_Undaria_pinnatifida_individual_41_2018-01-04_NAT_Kr_Goseong_5_South_Korea_2	SRR12223704_SRP271933_Undaria_pinnatifida_individual_41_2018-01-04_NAT_Kr_Goseong_5_South_Korea_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	101212765.0	0.0	101.0	48.0	84.36525167790332	101.0	pass	warn	warn	pass	pass	pass	pass	pass	pass	pass	pass
SRR12223705_SRP271933_Undaria_pinnatifida_individual_5_2016-04-19_INTRO_Fr_Roscoff_5_France_1	SRR12223705_SRP271933_Undaria_pinnatifida_individual_5_2016-04-19_INTRO_Fr_Roscoff_5_France_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	101344086.0	0.0	101.0	48.0	84.10635388874152	101.0	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass	pass
SRR12223705_SRP271933_Undaria_pinnatifida_individual_5_2016-04-19_INTRO_Fr_Roscoff_5_France_2	SRR12223705_SRP271933_Undaria_pinnatifida_individual_5_2016-04-19_INTRO_Fr_Roscoff_5_France_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	101344086.0	0.0	101.0	48.0	84.93298340978117	101.0	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass	pass
SRR12223706_SRP271933_Undaria_pinnatifida_individual_40_2018-01-04_NAT_Kr_Goseong_4_South_Korea_1	SRR12223706_SRP271933_Undaria_pinnatifida_individual_40_2018-01-04_NAT_Kr_Goseong_4_South_Korea_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	107898523.0	0.0	101.0	47.0	81.38281105397793	101.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
SRR12223706_SRP271933_Undaria_pinnatifida_individual_40_2018-01-04_NAT_Kr_Goseong_4_South_Korea_2	SRR12223706_SRP271933_Undaria_pinnatifida_individual_40_2018-01-04_NAT_Kr_Goseong_4_South_Korea_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	107898523.0	0.0	101.0	47.0	82.18968149956297	101.0	pass	warn	pass	pass	pass	pass	pass	pass	pass	pass	pass
SRR12223707_SRP271933_Undaria_pinnatifida_individual_39_2018-01-04_NAT_Kr_Goseong_3_South_Korea_1	SRR12223707_SRP271933_Undaria_pinnatifida_individual_39_2018-01-04_NAT_Kr_Goseong_3_South_Korea_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	101235093.0	0.0	101.0	48.0	85.46871158115984	101.0	pass	pass	warn	pass	pass	pass	pass	pass	pass	pass	pass
SRR12223707_SRP271933_Undaria_pinnatifida_individual_39_2018-01-04_NAT_Kr_Goseong_3_South_Korea_2	SRR12223707_SRP271933_Undaria_pinnatifida_individual_39_2018-01-04_NAT_Kr_Goseong_3_South_Korea_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	101235093.0	0.0	101.0	48.0	85.74902332318642	101.0	pass	fail	warn	pass	pass	pass	pass	pass	pass	pass	pass
SRR12223708_SRP271933_Undaria_pinnatifida_individual_38_2018-01-04_NAT_Kr_Goseong_2_South_Korea_1	SRR12223708_SRP271933_Undaria_pinnatifida_individual_38_2018-01-04_NAT_Kr_Goseong_2_South_Korea_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	97557819.0	0.0	101.0	48.0	82.82645086111877	101.0	pass	pass	warn	pass	pass	pass	pass	pass	pass	pass	pass
SRR12223708_SRP271933_Undaria_pinnatifida_individual_38_2018-01-04_NAT_Kr_Goseong_2_South_Korea_2	SRR12223708_SRP271933_Undaria_pinnatifida_individual_38_2018-01-04_NAT_Kr_Goseong_2_South_Korea_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	97557819.0	0.0	101.0	48.0	83.40274051109911	101.0	pass	fail	warn	pass	pass	pass	pass	pass	pass	pass	pass
SRR12223709_SRP271933_Undaria_pinnatifida_individual_37_2018-01-04_NAT_Kr_Goseong_1_South_Korea_1	SRR12223709_SRP271933_Undaria_pinnatifida_individual_37_2018-01-04_NAT_Kr_Goseong_1_South_Korea_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	100543145.0	0.0	101.0	48.0	84.66977174651308	101.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
SRR12223709_SRP271933_Undaria_pinnatifida_individual_37_2018-01-04_NAT_Kr_Goseong_1_South_Korea_2	SRR12223709_SRP271933_Undaria_pinnatifida_individual_37_2018-01-04_NAT_Kr_Goseong_1_South_Korea_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	100543145.0	0.0	101.0	48.0	85.12042522117056	101.0	pass	warn	warn	pass	pass	pass	pass	pass	pass	pass	pass
SRR12223710_SRP271933_Undaria_pinnatifida_individual_36_2017-12-19_NAT_Kr_Tongyeong_5_South_Korea_1	SRR12223710_SRP271933_Undaria_pinnatifida_individual_36_2017-12-19_NAT_Kr_Tongyeong_5_South_Korea_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	105282633.0	0.0	101.0	48.0	84.13264980604357	101.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
SRR12223710_SRP271933_Undaria_pinnatifida_individual_36_2017-12-19_NAT_Kr_Tongyeong_5_South_Korea_2	SRR12223710_SRP271933_Undaria_pinnatifida_individual_36_2017-12-19_NAT_Kr_Tongyeong_5_South_Korea_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	105282633.0	0.0	101.0	48.0	84.46143690063255	101.0	pass	warn	warn	pass	pass	pass	pass	pass	pass	pass	pass
SRR12223711_SRP271933_Undaria_pinnatifida_individual_35_2017-12-19_NAT_Kr_Tongyeong_4_South_Korea_1	SRR12223711_SRP271933_Undaria_pinnatifida_individual_35_2017-12-19_NAT_Kr_Tongyeong_4_South_Korea_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	98630688.0	0.0	101.0	48.0	84.41778999692622	101.0	pass	pass	warn	pass	pass	pass	pass	pass	pass	pass	pass
SRR12223711_SRP271933_Undaria_pinnatifida_individual_35_2017-12-19_NAT_Kr_Tongyeong_4_South_Korea_2	SRR12223711_SRP271933_Undaria_pinnatifida_individual_35_2017-12-19_NAT_Kr_Tongyeong_4_South_Korea_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	98630688.0	0.0	101.0	48.0	84.51742119286081	101.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
SRR12223712_SRP271933_Undaria_pinnatifida_individual_34_2017-12-19_NAT_Kr_Tongyeong_3_South_Korea_1	SRR12223712_SRP271933_Undaria_pinnatifida_individual_34_2017-12-19_NAT_Kr_Tongyeong_3_South_Korea_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	98042675.0	0.0	101.0	48.0	84.63269986211223	101.0	pass	pass	warn	pass	pass	pass	pass	pass	pass	pass	pass
SRR12223712_SRP271933_Undaria_pinnatifida_individual_34_2017-12-19_NAT_Kr_Tongyeong_3_South_Korea_2	SRR12223712_SRP271933_Undaria_pinnatifida_individual_34_2017-12-19_NAT_Kr_Tongyeong_3_South_Korea_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	98042675.0	0.0	101.0	48.0	84.72333012615744	101.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
SRR12223713_SRP271933_Undaria_pinnatifida_individual_33_2017-12-19_NAT_Kr_Tongyeong_2_South_Korea_1	SRR12223713_SRP271933_Undaria_pinnatifida_individual_33_2017-12-19_NAT_Kr_Tongyeong_2_South_Korea_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	99998960.0	0.0	101.0	46.0	78.27449860471607	101.0	pass	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass
SRR12223713_SRP271933_Undaria_pinnatifida_individual_33_2017-12-19_NAT_Kr_Tongyeong_2_South_Korea_2	SRR12223713_SRP271933_Undaria_pinnatifida_individual_33_2017-12-19_NAT_Kr_Tongyeong_2_South_Korea_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	99998960.0	0.0	101.0	47.0	78.97739771583699	101.0	pass	warn	pass	pass	pass	warn	pass	pass	pass	pass	pass
SRR12223714_SRP271933_Undaria_pinnatifida_individual_32_2017-12-19_NAT_Kr_Tongyeong_1_South_Korea_1	SRR12223714_SRP271933_Undaria_pinnatifida_individual_32_2017-12-19_NAT_Kr_Tongyeong_1_South_Korea_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	100425143.0	0.0	101.0	48.0	86.00999365159538	101.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
SRR12223714_SRP271933_Undaria_pinnatifida_individual_32_2017-12-19_NAT_Kr_Tongyeong_1_South_Korea_2	SRR12223714_SRP271933_Undaria_pinnatifida_individual_32_2017-12-19_NAT_Kr_Tongyeong_1_South_Korea_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	100425143.0	0.0	101.0	48.0	86.61188574937216	101.0	pass	warn	pass	pass	pass	pass	pass	pass	pass	pass	pass
SRR12223715_SRP271933_Undaria_pinnatifida_individual_31_2017-04-04_CUL_Kr_Wando2017_6_South_Korea_1	SRR12223715_SRP271933_Undaria_pinnatifida_individual_31_2017-04-04_CUL_Kr_Wando2017_6_South_Korea_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	107057959.0	0.0	101.0	47.0	73.52389192111907	101.0	pass	pass	warn	pass	pass	pass	pass	pass	pass	pass	pass
SRR12223715_SRP271933_Undaria_pinnatifida_individual_31_2017-04-04_CUL_Kr_Wando2017_6_South_Korea_2	SRR12223715_SRP271933_Undaria_pinnatifida_individual_31_2017-04-04_CUL_Kr_Wando2017_6_South_Korea_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	107057959.0	0.0	101.0	47.0	74.5266530270668	101.0	pass	pass	warn	pass	pass	pass	pass	pass	pass	pass	pass
SRR12223716_SRP271933_Undaria_pinnatifida_individual_4_2016-04-19_INTRO_Fr_Roscoff_4_France_1	SRR12223716_SRP271933_Undaria_pinnatifida_individual_4_2016-04-19_INTRO_Fr_Roscoff_4_France_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	104433646.0	0.0	101.0	47.0	83.46683002293854	101.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
SRR12223716_SRP271933_Undaria_pinnatifida_individual_4_2016-04-19_INTRO_Fr_Roscoff_4_France_2	SRR12223716_SRP271933_Undaria_pinnatifida_individual_4_2016-04-19_INTRO_Fr_Roscoff_4_France_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	104433646.0	0.0	101.0	47.0	84.78544452910205	101.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
SRR12223717_SRP271933_Undaria_pinnatifida_individual_30_2017-04-04_CUL_Kr_Wando2017_5_South_Korea_1	SRR12223717_SRP271933_Undaria_pinnatifida_individual_30_2017-04-04_CUL_Kr_Wando2017_5_South_Korea_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	98815241.0	0.0	101.0	47.0	72.06543891595528	101.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	warn	pass
SRR12223717_SRP271933_Undaria_pinnatifida_individual_30_2017-04-04_CUL_Kr_Wando2017_5_South_Korea_2	SRR12223717_SRP271933_Undaria_pinnatifida_individual_30_2017-04-04_CUL_Kr_Wando2017_5_South_Korea_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	98815241.0	0.0	101.0	47.0	76.41088450191437	101.0	pass	warn	warn	pass	pass	pass	pass	pass	pass	warn	pass
SRR12223718_SRP271933_Undaria_pinnatifida_individual_29_2017-04-04_CUL_Kr_Wando2017_4_South_Korea_1	SRR12223718_SRP271933_Undaria_pinnatifida_individual_29_2017-04-04_CUL_Kr_Wando2017_4_South_Korea_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	111565597.0	0.0	101.0	48.0	73.67198192562402	101.0	pass	warn	warn	pass	pass	pass	pass	pass	pass	warn	pass
SRR12223718_SRP271933_Undaria_pinnatifida_individual_29_2017-04-04_CUL_Kr_Wando2017_4_South_Korea_2	SRR12223718_SRP271933_Undaria_pinnatifida_individual_29_2017-04-04_CUL_Kr_Wando2017_4_South_Korea_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	111565597.0	0.0	101.0	48.0	75.8437248954159	101.0	pass	warn	warn	pass	pass	pass	pass	pass	pass	warn	pass
SRR12223719_SRP271933_Undaria_pinnatifida_individual_28_2017-04-04_CUL_Kr_Wando2017_3_South_Korea_1	SRR12223719_SRP271933_Undaria_pinnatifida_individual_28_2017-04-04_CUL_Kr_Wando2017_3_South_Korea_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	103012930.0	0.0	101.0	48.0	74.8669953245213	101.0	pass	warn	warn	pass	pass	pass	pass	pass	pass	pass	pass
SRR12223719_SRP271933_Undaria_pinnatifida_individual_28_2017-04-04_CUL_Kr_Wando2017_3_South_Korea_2	SRR12223719_SRP271933_Undaria_pinnatifida_individual_28_2017-04-04_CUL_Kr_Wando2017_3_South_Korea_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	103012930.0	0.0	101.0	48.0	76.8170795124604	101.0	pass	warn	warn	pass	pass	pass	pass	pass	pass	pass	pass
SRR12223720_SRP271933_Undaria_pinnatifida_individual_27_2017-04-04_CUL_Kr_Wando2017_2_South_Korea_1	SRR12223720_SRP271933_Undaria_pinnatifida_individual_27_2017-04-04_CUL_Kr_Wando2017_2_South_Korea_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	115917661.0	0.0	101.0	47.0	77.23923929128605	101.0	pass	fail	fail	pass	pass	pass	pass	pass	pass	pass	pass
SRR12223720_SRP271933_Undaria_pinnatifida_individual_27_2017-04-04_CUL_Kr_Wando2017_2_South_Korea_2	SRR12223720_SRP271933_Undaria_pinnatifida_individual_27_2017-04-04_CUL_Kr_Wando2017_2_South_Korea_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	115917661.0	0.0	101.0	47.0	78.50957579629993	101.0	pass	fail	warn	pass	pass	pass	pass	pass	pass	pass	pass
SRR12223721_SRP271933_Undaria_pinnatifida_individual_26_2017-04-04_CUL_Kr_Wando2017_1_South_Korea_1	SRR12223721_SRP271933_Undaria_pinnatifida_individual_26_2017-04-04_CUL_Kr_Wando2017_1_South_Korea_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	102220890.0	0.0	101.0	47.0	72.24344844645462	101.0	pass	fail	fail	pass	pass	pass	pass	pass	pass	pass	pass
SRR12223721_SRP271933_Undaria_pinnatifida_individual_26_2017-04-04_CUL_Kr_Wando2017_1_South_Korea_2	SRR12223721_SRP271933_Undaria_pinnatifida_individual_26_2017-04-04_CUL_Kr_Wando2017_1_South_Korea_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	102220890.0	0.0	101.0	48.0	74.50796969851078	101.0	pass	fail	warn	pass	pass	pass	pass	pass	pass	pass	pass
SRR12223722_SRP271933_Undaria_pinnatifida_individual_25_2015-01-23_CUL_Kr_Wando2015_4_South_Korea_1	SRR12223722_SRP271933_Undaria_pinnatifida_individual_25_2015-01-23_CUL_Kr_Wando2015_4_South_Korea_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	103574253.0	0.0	101.0	47.0	78.72239760455973	101.0	pass	pass	warn	pass	pass	pass	pass	pass	pass	pass	pass
SRR12223722_SRP271933_Undaria_pinnatifida_individual_25_2015-01-23_CUL_Kr_Wando2015_4_South_Korea_2	SRR12223722_SRP271933_Undaria_pinnatifida_individual_25_2015-01-23_CUL_Kr_Wando2015_4_South_Korea_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	103574253.0	0.0	101.0	47.0	80.00086870162414	101.0	pass	warn	warn	pass	pass	pass	pass	pass	pass	pass	pass
SRR12223723_SRP271933_Undaria_pinnatifida_individual_24_2015-01-23_CUL_Kr_Wando2015_3_South_Korea_1	SRR12223723_SRP271933_Undaria_pinnatifida_individual_24_2015-01-23_CUL_Kr_Wando2015_3_South_Korea_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	102600689.0	0.0	101.0	48.0	84.31962197104222	101.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
SRR12223723_SRP271933_Undaria_pinnatifida_individual_24_2015-01-23_CUL_Kr_Wando2015_3_South_Korea_2	SRR12223723_SRP271933_Undaria_pinnatifida_individual_24_2015-01-23_CUL_Kr_Wando2015_3_South_Korea_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	102600689.0	0.0	101.0	48.0	85.342357758637	101.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
SRR12223724_SRP271933_Undaria_pinnatifida_individual_23_2015-01-23_CUL_Kr_Wando2015_2_South_Korea_1	SRR12223724_SRP271933_Undaria_pinnatifida_individual_23_2015-01-23_CUL_Kr_Wando2015_2_South_Korea_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	102389141.0	0.0	101.0	47.0	84.04753682771876	101.0	pass	pass	warn	pass	pass	pass	pass	pass	pass	warn	pass
SRR12223724_SRP271933_Undaria_pinnatifida_individual_23_2015-01-23_CUL_Kr_Wando2015_2_South_Korea_2	SRR12223724_SRP271933_Undaria_pinnatifida_individual_23_2015-01-23_CUL_Kr_Wando2015_2_South_Korea_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	102389141.0	0.0	101.0	47.0	84.64703663818763	101.0	pass	pass	fail	pass	pass	pass	pass	pass	pass	pass	pass
SRR12223725_SRP271933_Undaria_pinnatifida_individual_22_2015-01-23_CUL_Kr_Wando2015_1_South_Korea_1	SRR12223725_SRP271933_Undaria_pinnatifida_individual_22_2015-01-23_CUL_Kr_Wando2015_1_South_Korea_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	110689360.0	0.0	101.0	47.0	82.7415866602998	101.0	pass	pass	warn	pass	pass	pass	pass	pass	pass	pass	pass
SRR12223725_SRP271933_Undaria_pinnatifida_individual_22_2015-01-23_CUL_Kr_Wando2015_1_South_Korea_2	SRR12223725_SRP271933_Undaria_pinnatifida_individual_22_2015-01-23_CUL_Kr_Wando2015_1_South_Korea_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	110689360.0	0.0	101.0	47.0	82.9816897392456	101.0	pass	pass	fail	pass	warn	pass	pass	pass	pass	pass	pass
SRR12223726_SRP271933_Undaria_pinnatifida_individual_21_2017-01-09_INTRO_NZ_Well2017_7_New_Zealand_1	SRR12223726_SRP271933_Undaria_pinnatifida_individual_21_2017-01-09_INTRO_NZ_Well2017_7_New_Zealand_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	100489169.0	0.0	101.0	48.0	66.13327648640008	101.0	pass	pass	warn	pass	pass	pass	pass	pass	warn	warn	pass
SRR12223726_SRP271933_Undaria_pinnatifida_individual_21_2017-01-09_INTRO_NZ_Well2017_7_New_Zealand_2	SRR12223726_SRP271933_Undaria_pinnatifida_individual_21_2017-01-09_INTRO_NZ_Well2017_7_New_Zealand_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	100489169.0	0.0	101.0	48.0	68.64106109592508	101.0	pass	pass	pass	pass	pass	pass	pass	pass	warn	warn	pass
SRR12223727_SRP271933_Undaria_pinnatifida_individual_3_2016-04-19_INTRO_Fr_Roscoff_3_France_1	SRR12223727_SRP271933_Undaria_pinnatifida_individual_3_2016-04-19_INTRO_Fr_Roscoff_3_France_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	107656836.0	0.0	101.0	48.0	85.94188257845474	101.0	pass	pass	warn	pass	pass	pass	pass	pass	pass	pass	pass
SRR12223727_SRP271933_Undaria_pinnatifida_individual_3_2016-04-19_INTRO_Fr_Roscoff_3_France_2	SRR12223727_SRP271933_Undaria_pinnatifida_individual_3_2016-04-19_INTRO_Fr_Roscoff_3_France_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	107656836.0	0.0	101.0	48.0	86.68582051645504	101.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
SRR12223728_SRP271933_Undaria_pinnatifida_individual_20_2017-01-09_INTRO_NZ_Well2017_6_New_Zealand_1	SRR12223728_SRP271933_Undaria_pinnatifida_individual_20_2017-01-09_INTRO_NZ_Well2017_6_New_Zealand_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	122799653.0	0.0	101.0	48.0	75.13618649238617	101.0	pass	pass	warn	pass	pass	pass	pass	pass	pass	warn	pass
SRR12223728_SRP271933_Undaria_pinnatifida_individual_20_2017-01-09_INTRO_NZ_Well2017_6_New_Zealand_2	SRR12223728_SRP271933_Undaria_pinnatifida_individual_20_2017-01-09_INTRO_NZ_Well2017_6_New_Zealand_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	122799653.0	0.0	101.0	48.0	76.74924597726125	101.0	pass	warn	pass	pass	pass	pass	pass	pass	pass	warn	pass
SRR12223729_SRP271933_Undaria_pinnatifida_individual_19_2017-01-09_INTRO_NZ_Well2017_5_New_Zealand_1	SRR12223729_SRP271933_Undaria_pinnatifida_individual_19_2017-01-09_INTRO_NZ_Well2017_5_New_Zealand_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	113281369.0	0.0	101.0	48.0	76.40600899653867	101.0	pass	pass	fail	pass	pass	pass	pass	pass	pass	pass	pass
SRR12223729_SRP271933_Undaria_pinnatifida_individual_19_2017-01-09_INTRO_NZ_Well2017_5_New_Zealand_2	SRR12223729_SRP271933_Undaria_pinnatifida_individual_19_2017-01-09_INTRO_NZ_Well2017_5_New_Zealand_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	113281369.0	0.0	101.0	48.0	76.89762847651885	101.0	pass	pass	warn	pass	pass	pass	pass	pass	pass	pass	pass
SRR12223730_SRP271933_Undaria_pinnatifida_individual_18_2017-01-09_INTRO_NZ_Well2017_4_New_Zealand_1	SRR12223730_SRP271933_Undaria_pinnatifida_individual_18_2017-01-09_INTRO_NZ_Well2017_4_New_Zealand_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	117172564.0	0.0	101.0	48.0	78.24971935251742	101.0	pass	pass	warn	pass	pass	pass	pass	pass	pass	pass	pass
SRR12223730_SRP271933_Undaria_pinnatifida_individual_18_2017-01-09_INTRO_NZ_Well2017_4_New_Zealand_2	SRR12223730_SRP271933_Undaria_pinnatifida_individual_18_2017-01-09_INTRO_NZ_Well2017_4_New_Zealand_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	117172564.0	0.0	101.0	48.0	80.14906818071107	101.0	pass	pass	warn	pass	pass	pass	pass	pass	pass	pass	pass
